"idMonitoramento","uso(%)","dtHora","nomeComponente"
"658","28.8","9/23/2023 15:59","CPU"
"661","24.2","9/23/2023 15:59","CPU"
"664","25.3","9/23/2023 15:59","CPU"
"667","22.9","9/23/2023 16:00","CPU"
"670","25.4","9/23/2023 16:00","CPU"
"673","25","9/23/2023 16:00","CPU"
"676","34.3","9/23/2023 16:00","CPU"
"679","34.5","9/23/2023 16:00","CPU"
"682","7.2","9/23/2023 16:00","CPU"
"685","23.8","9/23/2023 16:00","CPU"
"688","21.5","9/23/2023 16:00","CPU"
"691","23.1","9/23/2023 16:00","CPU"
"694","27.4","9/23/2023 16:00","CPU"
